,FEDFUNDS,TB3MS,T5YIE,UNRATE,CPIAUCSL_YOY,PCEPI_YOY,INDPRO_YOY,PAYEMS_YOY,NFCI,STLFSI4,SPREAD_2s10s,SPREAD_3m10y,SPREAD_5s30s,beta1,beta2,beta3,beta1_L1,beta1_L2,beta1_L3,beta2_L1,beta2_L2,beta2_L3,beta3_L1,beta3_L2,beta3_L3,beta1_t1,beta2_t1,beta3_t1
2004-11-30,1.93,2.07,2.76,5.4,3.5575824973274277,2.9225021057265543,2.862259931842281,1.5385211356653272,-0.72014,-0.8353,-1.3400000000000003,-2.120000000000001,-1.4200000000000004,5.376486075905756,-3.239785173111612,1.7121456260252928e-05,5.409753750263891,5.449958379274906,5.6023872821138365,-3.5751474025140144,-3.786373703313355,-4.134163323388996,-0.8750396088607664,1.95549829448094e-05,2.8797235313902548e-05,5.301578704012998,-2.9571870740389175,-2.524689905593267e-05
2004-12-31,2.16,2.19,2.64,5.4,3.2876768004109103,2.755403104461074,3.589129221090825,1.5500770056718238,-0.70129,-0.8388,-1.2200000000000006,-2.0400000000000005,-1.31,5.301578704012998,-2.9571870740389175,-2.524689905593267e-05,5.376486075905756,5.409753750263891,5.449958379274906,-3.239785173111612,-3.5751474025140144,-3.786373703313355,1.7121456260252928e-05,-0.8750396088607664,1.95549829448094e-05,5.057080041067668,-2.4780799055894893,-6.929703865693853e-05
2005-01-31,2.28,2.33,2.58,5.3,2.8051587929216915,2.500505710967449,3.774730799510007,1.536816352386161,-0.70658,-0.7914,-0.9999999999999996,-1.89,-1.0599999999999996,5.057080041067668,-2.4780799055894893,-6.929703865693853e-05,5.301578704012998,5.376486075905756,5.409753750263891,-2.9571870740389175,-3.239785173111612,-3.5751474025140144,-2.524689905593267e-05,1.7121456260252928e-05,-0.8750396088607664,4.744511104198196,-1.9719653749748332,3.0730837019360214e-05
2005-02-28,2.5,2.54,2.82,5.4,3.007348768392948,2.565539658079441,3.875918992590588,1.6774885212688773,-0.71404,-0.9594,-0.79,-1.63,-0.7899999999999996,4.744511104198196,-1.9719653749748332,3.0730837019360214e-05,5.057080041067668,5.301578704012998,5.376486075905756,-2.4780799055894893,-2.9571870740389175,-3.239785173111612,-6.929703865693853e-05,-2.524689905593267e-05,1.7121456260252928e-05,4.866097511313974,-2.019042532029668,3.0395643618229604e-05
2005-03-31,2.63,2.74,2.87,5.2,3.156495615442445,2.710442805069136,4.125761816906159,1.5233503432593665,-0.6688,-0.7328,-0.77,-1.7599999999999998,-0.5999999999999996,4.866097511313974,-2.019042532029668,3.0395643618229604e-05,4.744511104198196,5.057080041067668,5.301578704012998,-1.9719653749748332,-2.4780799055894893,-2.9571870740389175,3.0730837019360214e-05,-6.929703865693853e-05,-2.524689905593267e-05,4.7876869850051404,-1.7254705103622592,1.1632617375030574e-05
2005-04-30,2.79,2.78,2.73,5.2,3.306520060862894,2.804798987614543,3.946053154819485,1.5906363729230932,-0.61275,-0.7579,-0.69,-1.56,-0.6500000000000004,4.7876869850051404,-1.7254705103622592,1.1632617375030574e-05,4.866097511313974,4.744511104198196,5.057080041067668,-2.019042532029668,-1.9719653749748332,-2.4780799055894893,3.0395643618229604e-05,3.0730837019360214e-05,-6.929703865693853e-05,4.650893858765895,-1.4398772635304422,9.450185917041622e-05
2005-05-31,3.0,2.84,2.47,5.1,2.8288947691197386,2.5365229099979736,3.300816296488307,1.501237752952278,-0.60272,-0.8042,-0.4999999999999995,-1.2999999999999998,-0.6400000000000001,4.650893858765895,-1.4398772635304422,9.450185917041622e-05,4.7876869850051404,4.866097511313974,4.744511104198196,-1.7254705103622592,-2.019042532029668,-1.9719653749748332,1.1632617375030574e-05,3.0395643618229604e-05,3.0730837019360214e-05,4.404878234394541,-1.1197949444047262,-6.33284416575275e-05
2005-06-30,3.04,2.97,2.31,5.0,2.50927959054863,2.3142101667641413,4.509077448632937,1.6204101811545968,-0.60753,-0.6858,-0.3599999999999999,-1.0299999999999998,-0.5100000000000002,4.404878234394541,-1.1197949444047262,-6.33284416575275e-05,4.650893858765895,4.7876869850051404,4.866097511313974,-1.4398772635304422,-1.7254705103622592,-2.019042532029668,9.450185917041622e-05,1.1632617375030574e-05,3.0395643618229604e-05,4.46861442463324,-0.9083953972681894,-2.0425624647320626e-06
2005-07-31,3.26,3.22,2.32,5.0,3.0210630849103026,2.644163654893994,3.4558843559639563,1.838843786019062,-0.61687,-0.935,-0.3099999999999996,-0.9599999999999996,-0.3999999999999999,4.46861442463324,-0.9083953972681894,-2.0425624647320626e-06,4.404878234394541,4.650893858765895,4.7876869850051404,-1.1197949444047262,-1.4398772635304422,-1.7254705103622592,-6.33284416575275e-05,9.450185917041622e-05,1.1632617375030574e-05,4.522433633093541,-0.6945185237647643,-1.5621528889375802e-05
2005-08-31,3.5,3.44,2.44,4.9,3.582007658452291,2.9954864980047624,3.6990723332227295,1.9239229831134352,-0.60159,-0.8226,-0.2199999999999997,-0.8199999999999998,-0.3200000000000003,4.522433633093541,-0.6945185237647643,-1.5621528889375802e-05,4.46861442463324,4.404878234394541,4.650893858765895,-0.9083953972681894,-1.1197949444047262,-1.4398772635304422,-2.0425624647320626e-06,-6.33284416575275e-05,9.450185917041622e-05,4.633845055775134,-0.8093806633706198,-0.38758665465689335
2005-09-30,3.62,3.42,2.72,5.0,4.6328408046646175,3.758496231834574,1.6307288401804954,1.8474526453484683,-0.56932,-0.8463,-0.25,-0.7800000000000002,-0.4400000000000004,4.633845055775134,-0.8093806633706198,-0.38758665465689335,4.522433633093541,4.46861442463324,4.404878234394541,-0.6945185237647643,-0.9083953972681894,-1.1197949444047262,-1.5621528889375802e-05,-2.0425624647320626e-06,-6.33284416575275e-05,4.768992969284558,-0.6160088324181942,2.225471891630792e-06
2005-10-31,3.78,3.71,2.64,5.0,4.258145205596442,3.489755841324982,1.9597445378985332,1.6565076204781093,-0.58634,-0.8686,-0.1900000000000004,-0.75,-0.3099999999999996,4.768992969284558,-0.6160088324181942,2.225471891630792e-06,4.633845055775134,4.522433633093541,4.46861442463324,-0.8093806633706198,-0.6945185237647643,-0.9083953972681894,-0.38758665465689335,-1.5621528889375802e-05,-2.0425624647320626e-06,4.824843510310644,-0.49982408415546015,3.629332695658961e-05
2005-11-30,4.0,3.88,2.35,5.0,3.2840303652906577,2.89606484192948,2.808355620495817,1.8654537353734568,-0.58436,-0.7824,-0.1200000000000001,-0.6600000000000001,-0.25,4.824843510310644,-0.49982408415546015,3.629332695658961e-05,4.768992969284558,4.633845055775134,4.522433633093541,-0.6160088324181942,-0.8093806633706198,-0.6945185237647643,2.225471891630792e-06,-0.38758665465689335,-1.5621528889375802e-05,4.776730747027737,-0.41855335829111673,-0.34292083877037316
2005-12-31,4.16,3.89,2.3,4.9,3.2840303652906577,2.842833513417453,2.512407758660373,1.888870775376894,-0.5663,-0.6589,-0.0699999999999994,-0.5799999999999996,-0.2300000000000004,4.776730747027737,-0.41855335829111673,-0.34292083877037316,4.824843510310644,4.768992969284558,4.633845055775134,-0.49982408415546015,-0.6160088324181942,-0.8093806633706198,3.629332695658961e-05,2.225471891630792e-06,-0.38758665465689335,4.666377033470081,-0.11422105420485507,-0.8617343347446176
2006-01-31,4.29,4.24,2.58,4.7,3.940136168198904,3.1953387710723646,2.3180793172352665,1.97242111603142,-0.60517,-0.9962,-0.0199999999999995,-0.1799999999999997,-0.2200000000000006,4.666377033470081,-0.11422105420485507,-0.8617343347446176,4.776730747027737,4.824843510310644,4.768992969284558,-0.41855335829111673,-0.49982408415546015,-0.6160088324181942,-0.34292083877037316,3.629332695658961e-05,2.225471891630792e-06,4.5844331675890215,0.1621866690947929,-0.2783318299530133
